79122|79122|sb;22;15633
79136|79136|sb;22;15650
79650|79650|t.mom.louvre;;460
79888|79888|t.mom.louvre;;952
79863|79863|t.mom.louvre;;927
79877|79877|t.mom.louvre;;941
79687|79687|t.mom.louvre;;521
79693|79693|t.mom.louvre;;531
79718|79718|t.mom.louvre;;575
79730|79730|t.mom.louvre;;597
79056|79056|sb;22;15481
79042|79042|sb;22;15460
79724|79724|t.mom.louvre;;585
79917|79917|t.mom.louvre;;982
79903|79903|t.mom.louvre;;968
79095|79095|sb;22;15572
79081|79081|o.petr.mus;;603
79268|79268|sb;24;15974
79254|79254|sb;24;15950
79532|79532|t.mom.louvre;;252
79526|79526|t.mom.louvre;;239
79240|79240|sb;24;15916
79297|79297|sb;24;16076
79283|79283|sb;24;16010
79282|79282|sb;24;16005
79296|79296|sb;24;16073
79527|79527|t.mom.louvre;;242
79255|79255|sb;24;15951
79533|79533|t.mom.louvre;;253
79269|79269|sb;24;15976
79080|79080|sb;22;15525
79094|79094|sb;22;15568
79902|79902|t.mom.louvre;;967
79916|79916|t.mom.louvre;;981
79043|79043|sb;22;15461
79725|79725|t.mom.louvre;;587
79731|79731|t.mom.louvre;;598
79057|79057|sb;22;15482
79719|79719|t.mom.louvre;;577
79692|79692|t.mom.louvre;;530
79686|79686|t.mom.louvre;;519
79876|79876|t.mom.louvre;;940
79862|79862|t.mom.louvre;;926
79137|79137|sb;22;15651
79889|79889|t.mom.louvre;;953
79651|79651|t.mom.louvre;;462
79645|79645|t.mom.louvre;;452
79123|79123|sb;22;15634
79679|79679|t.mom.louvre;;509
79490|79490|t.mom.louvre;;182
79484|79484|t.mom.louvre;;172
79453|79453|t.mom.louvre;;27
79335|79335|sb;24;16134
79321|79321|p.eirene;1;30
